,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
121,Fieldwork: This is a pass/fail module,Unspecified,,Pass/Fail Grade Scale,No,100,Fieldwork,EEEN40200,200,In person,4,10.0,Electrical & Electronic Eng,Dr Barry Cardiff,Summer,1,,10.0,10.0
122,"Fieldwork: Student applies for position and is interviewed. Visit by academic mentors to company and meeting with student and host. Preparation of reports by student, commercial mentor and academic mentor.",Unspecified,,Pass/Fail Grade Scale,No,100,Fieldwork,EEEN40210,600,In person,4,30.0,Electrical & Electronic Eng,Dr Barry Cardiff,2 Trimester duration (Spr-Sum),40,,1200.0,30.0
123,Project: Final Report,Unspecified,,Graded,Yes,70,Project,EEEN40220,280,At home,4,20.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),46,,644.0,14.0
124,Lab Report: Interim Report,Unspecified,,Graded,Yes,10,Lab Report,EEEN40220,40,Blended,4,20.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),46,,92.0,2.0
125,Presentation: Project Presentation,Unspecified,,Graded,Yes,20,Presentation,EEEN40220,80,In person,4,20.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),46,,184.0,4.0
126,Essay: Conference Paper,Unspecified,,Graded,No,15,Essay,EEEN40240,75,At home,4,25.0,Electrical & Electronic Eng,Dr Barry Cardiff,2 Trimester duration (Aut-Spr),33,,123.75,3.75
127,Oral Examination: Examination of Thesis,End of Year Transition,,Graded,No,60,Oral Examination,EEEN40240,300,In person,4,25.0,Electrical & Electronic Eng,Dr Barry Cardiff,2 Trimester duration (Aut-Spr),33,,495.0,15.0
128,Presentation: Oral Presentation,Unspecified,,Graded,No,10,Presentation,EEEN40240,50,In person,4,25.0,Electrical & Electronic Eng,Dr Barry Cardiff,2 Trimester duration (Aut-Spr),33,,82.5,2.5
129,Essay: Interim Report,Unspecified,,Graded,No,15,Essay,EEEN40240,75,At home,4,25.0,Electrical & Electronic Eng,Dr Barry Cardiff,2 Trimester duration (Aut-Spr),33,,123.75,3.75
130,"Project: Final research report & interview, end of Spring trimester",Unspecified,,Graded,No,60,Project,EEEN40260,300,At home,4,25.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),8,,120.0,15.0
131,"Project: Interim report, due beginning of Spring trimester",Unspecified,,Graded,No,15,Project,EEEN40260,75,At home,4,25.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),8,,30.0,3.75
132,"Project: Research paper, due mid-Spring trimester",Unspecified,,Graded,No,15,Project,EEEN40260,75,At home,4,25.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),8,,30.0,3.75
133,"Presentation: Slideshow presentation, end of Autumn trimester",Unspecified,,Graded,No,10,Presentation,EEEN40260,50,In person,4,25.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),8,,20.0,2.5
134,Assignment: Design assignments during the trimester. Details of assignment weight and submission dates will be provided on Brightspace.,Throughout the Trimester,,Graded,No,50,Assignment,EEEN40280,50,At home,4,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,26,,65.0,2.5
135,"Examination: Written examination, invigilated, with access to lecture notes and one textbook.",2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,50,Examination,EEEN40280,50,In person,4,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,26,,65.0,2.5
136,Oral Examination: Examination of Thesis,End of Year Transition,,Graded,No,100,Oral Examination,EEEN40290,600,In person,4,30.0,Electrical & Electronic Eng,Professor Peter Kennedy,Summer,11,,330.0,30.0
137,Continuous Assessment: Weekly Presentation/Blogs.,Throughout the Trimester,,Graded,No,20,Continuous Assessment,EEEN40300,20,At home,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,38.0,1.0
138,Group Project: The team final report,Coursework (End of Trimester),,Graded,No,15,Group Project,EEEN40300,15,Blended,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,28.5,0.75
139,Presentation: Final team presentation,Week 12,,Graded,No,15,Presentation,EEEN40300,15,In person,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,28.5,0.75
140,Project: Out-of-the-building progress as measured by blog write-ups and presentations each week. Team members must:1) Update Business Model Canvas weekly2) Identify which team member did which portion of the w,Throughout the Trimester,,Graded,No,20,Project,EEEN40300,20,At home,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,38.0,1.0
141,Continuous Assessment: Weekly reading assignments,Throughout the Trimester,,Graded,No,10,Continuous Assessment,EEEN40300,10,At home,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,19.0,0.5
142,Essay: Individual reflective essay,Coursework (End of Trimester),,Graded,No,20,Essay,EEEN40300,20,At home,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,38,,38.0,1.0
143,"Lab Report: A series of three technical reports submitted at the end of each major section of the lab work, typically at weeks 6, 9 and 12.",Varies over the Trimester,,Graded,No,30,Lab Report,EEEN40310,30,Blended,4,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Autumn,28,,42.0,1.5
144,Continuous Assessment: A series of online tests conducted throughout the trimester.,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Continuous Assessment,EEEN40310,10,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Autumn,28,,14.0,0.5
145,Examination: 2 hour end of trimester examination,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,60,Examination,EEEN40310,60,In person,4,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Autumn,28,,84.0,3.0
146,Assignment: Assessment will consist of a number of assignments and group projects across the module. Each component will yield an equal weight on this grade component.,Unspecified,,Graded,No,30,Assignment,EEEN40350,30,At home,4,5.0,Electrical & Electronic Eng,Dr Giacomo Severini,Spring,39,,58.5,1.5
147,Examination: Open questions-based exam covering all the material of the module,2 hour End of Trimester Exam,No,Graded,Yes,70,Examination,EEEN40350,70,In person,4,5.0,Electrical & Electronic Eng,Dr Giacomo Severini,Spring,39,,136.5,3.5
148,Presentation: Oral presentation,Unspecified,,Graded,No,10,Presentation,EEEN40360,60,In person,4,30.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Summer,0,,0.0,3.0
149,Assignment: Interim report,Unspecified,,Graded,No,10,Assignment,EEEN40360,60,At home,4,30.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Summer,0,,0.0,3.0
150,Assignment: Research paper,Unspecified,,Graded,No,15,Assignment,EEEN40360,90,At home,4,30.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Summer,0,,0.0,4.5
151,Project: Final research report,Unspecified,,Graded,No,65,Project,EEEN40360,390,At home,4,30.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Summer,0,,0.0,19.5
152,Lab Report: ULTC and FACTS control,Week 10,,Graded,No,15,Lab Report,EEEN40550,15,Blended,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,8.25,0.75
153,Lab Report: Voltage control of synchronous machines,Week 8,,Graded,No,15,Lab Report,EEEN40550,15,Blended,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,8.25,0.75
154,Lab Report: Frequency control of synchronous machines,Week 6,,Graded,No,15,Lab Report,EEEN40550,15,Blended,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,8.25,0.75
155,Lab Report: Wind Turbine control,Week 12,,Graded,No,15,Lab Report,EEEN40550,15,Blended,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,8.25,0.75
156,Class Test: Questions on all topics discussed in the lectures since week 6.,Week 12,,Graded,No,20,Class Test,EEEN40550,20,In person,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,11.0,1.0
157,Class Test: Questions on all topics discussed in the lectures until week 5 inclusive.,Week 6,,Graded,No,20,Class Test,EEEN40550,20,In person,4,5.0,Electrical & Electronic Eng,Professor Federico Milano,Autumn,11,,11.0,1.0
158,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,40,Examination,EEEN40570,40,In person,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Autumn,16,,32.0,2.0
159,Project: Final circuit design project,Week 12,,Standard conversion grade scale 40%,No,20,Project,EEEN40570,20,At home,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Autumn,16,,16.0,1.0
160,"Assignment: Homework assignments, lab reports",Throughout the Trimester,,Standard conversion grade scale 40%,No,40,Assignment,EEEN40570,40,At home,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Autumn,16,,32.0,2.0
161,"Assignment: Solving some optimisation problems , interpreting the results, coding",Varies over the Trimester,,Graded,No,30,Assignment,EEEN40580,30,At home,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,86,,129.0,1.5
162,"Multiple Choice Questionnaire: Online exam, Mix of theoretical and practical questions",Week 7,,Standard conversion grade scale 40%,No,30,Multiple Choice Questionnaire,EEEN40580,30,Blended,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,86,,129.0,1.5
163,Examination: Online exam,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,40,Examination,EEEN40580,40,In person,4,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Autumn,86,,172.0,2.0
164,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,40,Examination,EEEN40600,40,In person,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Spring,14,,28.0,2.0
165,Assignment: Homework assignments and lab reports,Throughout the Trimester,,Standard conversion grade scale 40%,No,40,Assignment,EEEN40600,40,At home,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Spring,14,,28.0,2.0
166,Essay: IEEE journal paper reading,Week 12,,Standard conversion grade scale 40%,No,20,Essay,EEEN40600,20,At home,4,5.0,Electrical & Electronic Eng,Professor Robert Staszewski,Spring,14,,14.0,1.0
167,Group Project: Group project report and individual learning journals.,Throughout the Trimester,,Graded,No,80,Group Project,EEEN40620,80,Blended,4,5.0,Electrical & Electronic Eng,Dr John Healy,Autumn,20,,80.0,4.0
168,"Class Test: Offline, closed book class test.",Week 12,,Graded,No,20,Class Test,EEEN40620,20,In person,4,5.0,Electrical & Electronic Eng,Dr John Healy,Autumn,20,,20.0,1.0
169,"Assignment: Students will be required to submit reviews/reports on assigned work (papers, webinars, seminars) and justify a their opinions in class to the lecturer and their peers. Produce a portfolio.",Throughout the Trimester,,Graded,No,35,Assignment,EEEN40630,35,At home,4,5.0,Electrical & Electronic Eng,Dr John Healy,Autumn,6,,10.5,1.75
170,Examination: 2 hours duration final examination,2 hour End of Trimester Exam,No,Graded,No,65,Examination,EEEN40630,65,In person,4,5.0,Electrical & Electronic Eng,Dr John Healy,Autumn,6,,19.5,3.25
171,Presentation: Oral Presentation,Unspecified,,Graded,No,10,Presentation,EEEN40650,50,In person,4,25.0,Electrical & Electronic Eng,Dr John Healy,2 Trimester duration (Aut-Spr),2,,5.0,2.5
172,Essay: Interim Report,Unspecified,,Graded,No,10,Essay,EEEN40650,50,At home,4,25.0,Electrical & Electronic Eng,Dr John Healy,2 Trimester duration (Aut-Spr),2,,5.0,2.5
173,Oral Examination: Examination of thesis,End of Year Transition,,Graded,No,65,Oral Examination,EEEN40650,325,In person,4,25.0,Electrical & Electronic Eng,Dr John Healy,2 Trimester duration (Aut-Spr),2,,32.5,16.25
174,Essay: Conference Paper,End of Year Transition,,Graded,No,15,Essay,EEEN40650,75,At home,4,25.0,Electrical & Electronic Eng,Dr John Healy,2 Trimester duration (Aut-Spr),2,,7.5,3.75
175,"Class Test: 10 weekly quizzes starting week 2, each 15 min, 2% of grade1 final 1-hour quiz in week 12, 25% of grade",Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,45,Class Test,EEEN40660,45,In person,4,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,49,,110.25,2.25
176,"Lab Report: 10 Python programming/analysis tasks will be completed and the Jupyter notebooks uploaded to Brightspace. This grade component will be awarded for any complete, non-duplicated attempt",Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,15,Lab Report,EEEN40660,15,Blended,4,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,49,,36.75,0.75
177,"Assignment: 2 data analysis/simulation assignments, each worth 20%.Due approximately in week 7 and 12",Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,40,Assignment,EEEN40660,40,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,49,,98.0,2.0
178,Oral Examination: Examination of thesis,End of Year Transition,,Graded,No,100,Oral Examination,EEEN40670,600,In person,4,30.0,Electrical & Electronic Eng,Dr John Healy,Summer,3,,90.0,30.0
179,Project: Final project,Unspecified,,Alternative linear conversion grade scale 40%,No,30,Project,EEEN40680,30,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Elena Blokhina,Autumn,2,,3.0,1.5
180,Project: Mid-term project,Unspecified,,Alternative linear conversion grade scale 40%,No,30,Project,EEEN40680,30,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Elena Blokhina,Autumn,2,,3.0,1.5
181,Continuous Assessment: Specific homework assignments and jupyter notebooks to support lectures,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,40,Continuous Assessment,EEEN40680,40,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Elena Blokhina,Autumn,2,,4.0,2.0
182,"Project: Students will complete a substantial dissertation report, which they defend in an interview, and which will be co-graded by a moderator as well as the project supervisor.",Coursework (End of Trimester),,Graded,No,100,Project,EEEN40700,600,At home,4,30.0,Electrical & Electronic Eng,Dr Paul Cuffe,Summer,0,,0.0,30.0
183,"Group Project: ""Peer observation and feedback""In pairs, students observe each others work as teaching assistance and provide observations, feedback and reflections to each other.",Throughout the Trimester,,Graded,No,20,Group Project,EEEN40710,20,Blended,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,19.0,1.0
184,"Attendance: Students must physically attend the timetabled workshop sessions, and pro-actively engage in the various in-class discussions and exercises",Throughout the Trimester,,Pass/Fail Grade Scale,No,10,Attendance,EEEN40710,10,In person,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,9.5,0.5
185,"Assignment: Evidence of engagement with RSP panel, and pro-active analysis of suitable credit-bearing modules",Throughout the Trimester,,Pass/Fail Grade Scale,No,10,Assignment,EEEN40710,10,At home,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,9.5,0.5
186,"Assignment: Students must demonstrate that they have engaged with and passed the designated online research integrity training, as well as the School safety induction.",Throughout the Trimester,,Pass/Fail Grade Scale,Yes,20,Assignment,EEEN40710,20,At home,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,19.0,1.0
187,"Assignment: Creation of a polished slide deck or poster, succinctly exploring some aspect of academic life",Throughout the Trimester,,Graded,No,10,Assignment,EEEN40710,10,At home,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,9.5,0.5
188,"Assignment: Exercise to demonstrate a fluent workflow in technical computing for research purposes, including creation of graphics for integration within LaTeX documents",Throughout the Trimester,,Graded,No,30,Assignment,EEEN40710,30,At home,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,19,,28.5,1.5
189,Assignment: Three reports.,Throughout the Trimester,,Graded,No,100,Assignment,EEEN50070,200,At home,5,10.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Autumn,0,,0.0,10.0
190,Assignment: Three reports.,Throughout the Trimester,,Graded,No,100,Assignment,EEEN50080,400,At home,5,20.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Autumn,0,,0.0,20.0
191,Journal: Reflective Journal Submission,Varies over the Trimester,,Standard conversion grade scale 40%,No,10,Journal,CVEN10040,10,Blended,1,5.0,Civil Engineering,Dr Sarah Cotterill,Autumn,300,,150.0,0.5
192,Portfolio: Sketchwork portfolio,Throughout the Trimester,,Standard conversion grade scale 40%,No,30,Portfolio,CVEN10040,30,Blended,1,5.0,Civil Engineering,Dr Sarah Cotterill,Autumn,300,,450.0,1.5
193,Studio Examination: In-studio assessment of group assignments,Throughout the Trimester,,Standard conversion grade scale 40%,No,60,Studio Examination,CVEN10040,60,In person,1,5.0,Civil Engineering,Dr Sarah Cotterill,Autumn,300,,900.0,3.0
194,Continuous Assessment: Transportation Assignment,Unspecified,,Graded,No,33,Continuous Assessment,CVEN10050,33,At home,1,5.0,Civil Engineering,Dr Shane Donohue,Spring,28,,46.2,1.6500000000000001
195,Continuous Assessment: Environmental assignment,Unspecified,,Graded,No,33,Continuous Assessment,CVEN10050,33,At home,1,5.0,Civil Engineering,Dr Shane Donohue,Spring,28,,46.2,1.6500000000000001
